"cataid" "ra" "dec"
"1" 6802 174.006 0.7209271
"2" 6806 174.0228 0.7059374
"3" 6808 174.100729377293 0.658914274054044
"4" 6821 174.1532 0.8154265
"5" 6826 174.1849 0.7090439
"6" 6830 174.2805 0.7060815
"7" 6837 174.3028 0.7899846
"8" 6838 174.3055 0.7903351
"9" 6839 174.3354 0.836563
"10" 6840 174.3469 0.6964502
"11" 6842 174.3594 0.6354807
"12" 6844 174.396 0.8207731
"13" 6845 174.3996 0.67831
"14" 6846 174.4393 0.6622652
"15" 6853 174.4453 0.662861
"16" 6854 174.4465 0.6641489
"17" 6855 174.4672 0.7615076
"18" 6856 174.5015 0.8208335
"19" 6858 174.5086 0.8164702
"20" 6859 174.5259 0.74567
"21" 6860 174.5391 0.8299744
"22" 6861 174.5525 0.729661
"23" 6879 174.6104 0.6413152
"24" 6880 174.6268 0.7319659
"25" 6881 174.6331 0.8215678
"26" 6882 174.6379 0.7383808
"27" 6884 174.6463 0.7366659
"28" 6885 174.6601 0.6629777
"29" 6886 174.6719 0.723303
"30" 6889 174.708021363094 0.760707772675094
"31" 6892 174.6449 0.6425144
"32" 6900 174.865 0.7323448
"33" 6901 174.7546 0.8006538
"34" 6903 174.7682 0.7571937
"35" 6906 174.8607 0.6978304
"36" 6908 174.7676 0.706113
"37" 6909 174.785386186247 0.791799831760445
"38" 6915 174.8872 0.7516906
"39" 6916 174.863 0.7083467
"40" 6922 174.916412967261 0.833746448181525
"41" 6926 174.9294 0.7491119
"42" 6929 174.9922 0.7773535
"43" 6930 175.0301 0.7835406
"44" 6934 174.924699288641 0.762379519946327
"45" 6935 174.928323697553 0.762205051845058
"46" 6936 174.92631127498 0.763068152346617
"47" 6942 174.98664814582 0.837142410995531
"48" 6943 174.9895 0.6456002
"49" 6955 175.029854421523 0.803571496630661
"50" 6956 175.0493 0.7510074
"51" 6957 175.1291 0.8275366
"52" 6964 175.190001024824 0.737674015320241
"53" 6965 175.0427 0.8290803
"54" 6967 175.075838551621 0.709857153496999
"55" 6968 175.0775 0.6360645
"56" 6969 175.1112 0.7690314
"57" 6971 175.1113 0.6779319
"58" 6973 175.1221 0.7703927
"59" 6974 175.1525 0.8246884
"60" 6975 175.1725 0.8129525
"61" 6979 175.080978521477 0.750834158450145
"62" 6983 175.127866169577 0.737959575830438
"63" 6988 175.1899 0.8311128
"64" 6998 175.3244 0.6830322
"65" 6999 175.3348 0.7347183
"66" 7000 175.1992 0.8062356
"67" 7001 175.2018 0.7205373
"68" 7002 175.2182 0.7924737
"69" 7003 175.2319 0.7877107
"70" 7004 175.2418 0.6810811
"71" 7005 175.2491 0.7705707
"72" 7007 175.2718 0.7076053
"73" 7008 175.2877 0.8217767
"74" 7010 175.3104 0.648734
"75" 7011 175.3212 0.7244193
"76" 7012 175.3393 0.7517738
"77" 7017 175.2725 0.8028002
"78" 7019 175.2871 0.6972895
"79" 7024 175.3067 0.7517712
"80" 7025 175.312076570417 0.838042635473156
"81" 7026 175.318982059323 0.631040764265349
"82" 7029 175.2428 0.6296181
"83" 7030 175.3063 0.719581
"84" 7032 175.22480572145 0.764593125142614
"85" 7039 175.4298 0.660649
"86" 7040 175.4528 0.757746
"87" 7043 175.347286178876 0.633630516030279
"88" 7045 175.35432485325 0.632952392778857
"89" 7049 175.375360251414 0.63626086659732
"90" 7052 175.405377723419 0.647861121864516
"91" 7054 175.418750428824 0.643349215807226
"92" 7055 175.4207 0.739162
"93" 7060 175.3938 0.705079
"94" 7069 175.5074 0.677329
"95" 7070 175.5292 0.8121546
"96" 7072 175.5539 0.7341642
"97" 7076 175.528682798926 0.64368529369971
"98" 7077 175.530078501009 0.733895736158563
"99" 7079 175.5536 0.6328654
"100" 7080 175.55220964521 0.63341802545089
"101" 7083 175.55980166366 0.738519341966472
"102" 7084 175.560243797689 0.722670989227971
"103" 7086 175.57031270183 0.638796736212281
"104" 7088 175.5913 0.6687369
"105" 7097 175.6752 0.7547692
"106" 7100 175.6572 0.7698073
"107" 7102 175.6717 0.7178514
"108" 7103 175.6813 0.7916918
"109" 7104 175.7123 0.8323677
"110" 7107 175.7889 0.7332798
"111" 7109 175.649054522769 0.768109916618253
"112" 7112 175.66519659505 0.692843968332684
"113" 7116 175.7235 0.7453075
"114" 7117 175.737661567127 0.722604758084456
"115" 7118 175.740999049079 0.722480521718732
"116" 7119 175.771363764362 0.682695548027353
"117" 7130 175.8097 0.7631042
"118" 7135 175.9387 0.6396143
"119" 7136 175.7925 0.7173436
"120" 7137 175.7912 0.742166
"121" 7138 175.8174 0.6468781
"122" 7139 175.8283 0.7478742
"123" 7140 175.8524 0.7024838
"124" 7147 175.806305132754 0.769368959520002
"125" 7149 175.8179 0.83805
"126" 7157 175.922124425807 0.647465720408886
"127" 7167 175.91 0.6990179
"128" 7176 176.0176 0.762204
"129" 7177 176.0239 0.7734469
"130" 7179 176.0446 0.766143
"131" 7182 176.0853 0.8035962
"132" 7188 176.0348 0.7170447
"133" 7192 176.072666529966 0.785385751325569
"134" 7193 176.0765 0.768424
"135" 7203 176.1218 0.76703
"136" 7205 176.1537 0.680359
"137" 7206 176.1641 0.7495643
"138" 7209 176.1859 0.6565064
"139" 7210 176.2141 0.7580231
"140" 7211 176.2241 0.7077478
"141" 7214 176.125487552296 0.807784617376345
"142" 7216 176.173939598235 0.737674801928323
"143" 7234 176.2995 0.6756644
"144" 7235 176.340835389555 0.781706347204522
"145" 7237 176.318 0.8165612
"146" 7238 176.3639 0.8188984
"147" 7241 176.3231 0.6468669
"148" 7246 176.3075 0.646087
"149" 7248 176.3677 0.7848818
"150" 7254 176.4307 0.6739642
"151" 7255 176.4424 0.797475
"152" 7259 176.4769 0.8376298
"153" 7260 176.4844 0.8148126
"154" 7264 176.5408 0.6999984
"155" 7266 176.5397 0.7180753
"156" 7268 176.655801364378 0.777005413085621
"157" 7269 176.6796 0.8274131
"158" 7270 176.5559 0.6746579
"159" 7286 176.7522 0.7776616
"160" 7287 176.7712 0.6474938
"161" 7288 176.774030724503 0.715444746638411
"162" 7289 176.775 0.635686
"163" 7290 176.7746 0.7399075
"164" 7291 176.779 0.806363
"165" 7292 176.807 0.7037141
"166" 7293 176.810999195426 0.633731316130041
"167" 7294 176.8168 0.8280375
"168" 7295 176.718802462116 0.641840758357164
"169" 7302 176.7973 0.7787102
"170" 7307 176.8529 0.8190565
"171" 7311 176.9305 0.6569451
"172" 7312 176.9569 0.7091832
"173" 7313 176.9714 0.697946
"174" 7314 176.9784 0.6678116
"175" 7315 176.9815 0.661393
"176" 7329 177.024660410349 0.798522804244621
"177" 7331 177.0684423225 0.789628732225396
"178" 7336 177.0124 0.6460675
"179" 7338 177.0701 0.6476572
"180" 7339 177.0715 0.7920016
"181" 7340 177.0977 0.6356181
"182" 7344 176.9915 0.6761237
"183" 7346 177.0001 0.6906941
"184" 7347 177.03152731729 0.795623738495136
"185" 7355 177.061 0.8316152
"186" 7365 177.203941672882 0.829955314237205
"187" 7366 177.2522 0.749945
"188" 7368 177.2796 0.6820134
"189" 7369 177.152 0.7812907
"190" 7370 177.1542 0.7885028
"191" 7371 177.155 0.7812805
"192" 7372 177.1512 0.788566
"193" 7375 177.1654 0.829198
"194" 7376 177.1856 0.6886593
"195" 7377 177.2003 0.7742349
"196" 7379 177.2566 0.7808811
"197" 7380 177.2587 0.8377747
"198" 7381 177.2627 0.7620483
"199" 7382 177.2803 0.6440448
"200" 7383 177.281 0.7743548
"201" 7384 177.2828 0.6904254
"202" 7385 177.1433 0.8033229
"203" 7387 177.167331716892 0.837932125684683
"204" 7389 177.176818013463 0.750649096119785
"205" 7403 177.2913 0.690356
"206" 7404 177.2975 0.6919985
"207" 7405 177.3013 0.799285
"208" 7406 177.3076 0.7860864
"209" 7407 177.3349 0.754037
"210" 7408 177.3363 0.7346592
"211" 7409 177.3366 0.7497058
"212" 7410 177.3676 0.7189954
"213" 7411 177.381212813885 0.734847755177933
"214" 7416 177.330249697963 0.793902939344748
"215" 7422 177.4367 0.7901023
"216" 7434 177.4592 0.7104687
"217" 7435 177.531 0.6365877
"218" 7436 177.548 0.7933805
"219" 7438 177.5624 0.6577199
"220" 7453 177.6997 0.6393489
"221" 7454 177.7092 0.7516181
"222" 7456 177.6113 0.6971305
"223" 7457 177.6273 0.6741068
"224" 7460 177.6634 0.6668388
"225" 7461 177.7036 0.830342
"226" 7466 177.647843651108 0.831980688835515
"227" 7468 177.710452423229 0.814196889353737
"228" 7472 177.6095 0.8197183
"229" 7473 177.6148 0.6681868
"230" 7475 177.6427 0.7207276
"231" 7476 177.6434 0.8186141
"232" 7480 177.8323 0.7600821
"233" 7482 177.7575 0.698556
"234" 7483 177.7615 0.673058
"235" 7484 177.7677 0.6633742
"236" 7487 177.7939 0.8187057
"237" 7489 177.8477 0.7332259
"238" 7490 177.8671 0.728695
"239" 7493 177.765237802913 0.788432338600337
"240" 7496 177.7924 0.706222
"241" 7500 177.8003 0.6600862
"242" 7504 177.8797 0.7003413
"243" 7510 177.905758953333 0.823157563982635
"244" 7511 177.9073 0.7614155
"245" 7512 177.9094 0.8295839
"246" 7513 177.922396429478 0.702362381945319
"247" 7514 177.9552 0.7223321
"248" 7517 177.9971 0.8384462
"249" 7518 178.0074 0.6370631
"250" 7522 177.952981484032 0.80920396670808
"251" 7524 177.9725 0.7506998
"252" 7529 178.024608099486 0.679590994344512
"253" 7541 178.0738 0.6620524
"254" 7551 178.0489 0.7419762
"255" 7554 178.203 0.6619318
"256" 7562 178.205 0.6993937
"257" 7563 178.233106240414 0.683470711328056
"258" 7565 178.2405 0.702696
"259" 7567 178.2417 0.6480433
"260" 7568 178.2422 0.7744702
"261" 7569 178.3126 0.7669977
"262" 7570 178.3214 0.6629397
"263" 7572 178.2026 0.8103702
"264" 7573 178.2567 0.729688
"265" 7577 178.3179 0.7996508
"266" 7590 178.3386 0.7828819
"267" 7592 178.4037 0.8188121
"268" 7593 178.4139 0.640176
"269" 7594 178.4239 0.7240777
"270" 7595 178.4582 0.761033
"271" 7596 178.3442 0.8006705
"272" 7598 178.3462 0.670062
"273" 7599 178.35364087913 0.650644228403841
"274" 7601 178.3741 0.7828694
"275" 7609 178.465 0.7121813
"276" 7618 178.6182 0.6876898
"277" 7619 178.4865 0.7197135
"278" 7622 178.5042 0.6539422
"279" 7623 178.509 0.7852872
"280" 7624 178.5575 0.6527223
"281" 7630 178.512326755036 0.753882640524402
"282" 7634 178.5842 0.6349223
"283" 7639 178.6582 0.8099285
"284" 7641 178.6942 0.6909051
"285" 7642 178.7144 0.6525378
"286" 7643 178.7227 0.811435
"287" 7644 178.7311 0.764366
"288" 7645 178.7405 0.6761252
"289" 7647 178.7827 0.6449743
"290" 7649 178.676 0.8185514
"291" 7651 178.694 0.6719637
"292" 7653 178.7485 0.7161868
"293" 7656 178.750553202157 0.788523489800954
"294" 7657 178.761433787761 0.702562675116142
"295" 7659 178.6593 0.7013169
"296" 7663 178.7987 0.7683717
"297" 7666 178.8383 0.71132
"298" 7670 178.9288 0.8089763
"299" 7675 178.912876845008 0.766526059058133
"300" 7681 178.9419 0.7340463
"301" 7682 178.9485 0.8144577
"302" 7683 178.9355 0.8389531
"303" 7684 178.954 0.645128
"304" 7685 178.9645 0.7490443
"305" 7687 178.9804 0.7483313
"306" 7688 178.9905 0.7233054
"307" 7689 178.9977 0.7913635
"308" 7690 179.0293 0.7062866
"309" 7691 179.0701 0.7804707
"310" 7703 179.1881 0.7422913
"311" 7709 179.146 0.6811131
"312" 7711 179.1679 0.6605947
"313" 7712 179.1794 0.6566032
"314" 7714 179.2094 0.8080026
"315" 7715 179.2287 0.7239165
"316" 7721 179.148238980272 0.689715410587059
"317" 7722 179.162293828454 0.716871808200011
"318" 7735 179.2566 0.751469
"319" 7740 179.3166 0.7291114
"320" 7742 179.2412 0.7116694
"321" 7743 179.2453 0.6772658
"322" 7745 179.2723 0.6892184
"323" 7746 179.2784 0.8235442
"324" 7747 179.2827 0.6696554
"325" 7749 179.2911 0.6835586
"326" 7752 179.3073 0.8386977
"327" 7753 179.316 0.7448679
"328" 7755 179.3294 0.8025463
"329" 7756 179.3341 0.6436573
"330" 7757 179.3367 0.6644144
"331" 7758 179.359 0.6693855
"332" 7759 179.3621 0.6695241
"333" 7761 179.3635 0.7450368
"334" 7765 179.3811 0.8171263
"335" 7767 179.247339281878 0.779885627053228
"336" 7777 179.3498 0.736564
"337" 7782 179.369240867394 0.766431062274813
"338" 7784 179.268 0.8290105
"339" 7791 179.3831 0.7777955
"340" 7792 179.4364 0.7339607
"341" 7793 179.4011 0.8050999
"342" 7795 179.4122 0.7925538
"343" 7796 179.4162 0.7791555
"344" 7797 179.4177 0.639383
"345" 7798 179.4207 0.7184656
"346" 7802 179.4432 0.8040484
"347" 7803 179.4539 0.7503142
"348" 7804 179.4589 0.823752
"349" 7805 179.4763 0.6483539
"350" 7809 179.4003 0.6921713
"351" 7811 179.437 0.8182575
"352" 7815 179.506947313235 0.79763762279787
"353" 7816 179.5162 0.7683599
"354" 7824 179.407458896547 0.77468384849943
"355" 7831 179.585477395636 0.813639344098918
"356" 7839 179.6154 0.717901
"357" 7840 179.6054 0.7068456
"358" 7841 179.6088 0.7131005
"359" 7846 179.6632 0.7048911
"360" 7847 179.6604 0.7086781
"361" 7848 179.5663 0.7911629
"362" 7849 179.5719 0.7672632
"363" 7850 179.5695 0.7632162
"364" 7852 179.5734 0.6643898
"365" 7854 179.5815 0.7007306
"366" 7856 179.5898 0.6655213
"367" 7857 179.5856 0.6667015
"368" 7858 179.5887 0.6436416
