"cataid" "ra" "dec" "sigmaid"
"1" 6802 174.006 0.7209271 142948
"2" 6806 174.0228 0.7059374 142952
"3" 6808 174.100729377293 0.658914274054044 142953
"4" 6821 174.1532 0.8154265 142966
"5" 6826 174.1849 0.7090439 142967
"6" 6830 174.2805 0.7060815 142971
"7" 6837 174.3028 0.7899846 142979
"8" 6838 174.3055 0.7903351 142978
"9" 6839 174.3354 0.836563 142983
"10" 6840 174.3469 0.6964502 142985
"11" 6842 174.3594 0.6354807 142981
"12" 6844 174.396 0.8207731 142984
"13" 6845 174.3996 0.67831 142986
"14" 6846 174.4393 0.6622652 142987
"15" 6853 174.4453 0.662861 142994
"16" 6854 174.4465 0.6641489 142995
"17" 6855 174.4672 0.7615076 142996
"18" 6856 174.5015 0.8208335 142999
"19" 6858 174.5086 0.8164702 142998
"20" 6859 174.5259 0.74567 143000
"21" 6860 174.5391 0.8299744 143002
"22" 6861 174.5525 0.729661 143003
"23" 6879 174.6104 0.6413152 143017
"24" 6880 174.6268 0.7319659 143033
"25" 6881 174.6331 0.8215678 143020
"26" 6882 174.6379 0.7383808 143021
"27" 6884 174.6463 0.7366659 143022
"28" 6885 174.6601 0.6629777 143024
"29" 6886 174.6719 0.723303 143025
"30" 6889 174.708021363094 0.760707772675094 143028
"31" 6892 174.6449 0.6425144 143031
"32" 6900 174.865 0.7323448 143038
"33" 6901 174.7546 0.8006538 143039
"34" 6903 174.7682 0.7571937 143041
"35" 6906 174.8607 0.6978304 143044
"36" 6908 174.7676 0.706113 143045
"37" 6909 174.785386186247 0.791799831760445 143046
"38" 6915 174.8872 0.7516906 143052
"39" 6916 174.863 0.7083467 143054
"40" 6922 174.916412967261 0.833746448181525 143060
"41" 6926 174.9294 0.7491119 143062
"42" 6929 174.9922 0.7773535 143065
"43" 6930 175.0301 0.7835406 143066
"44" 6934 174.924699288641 0.762379519946327 143068
"45" 6935 174.928323697553 0.762205051845058 143074
"46" 6936 174.92631127498 0.763068152346617 143075
"47" 6942 174.98664814582 0.837142410995531 143081
"48" 6943 174.9895 0.6456002 143082
"49" 6955 175.029854421523 0.803571496630661 143091
"50" 6956 175.0493 0.7510074 143092
"51" 6957 175.1291 0.8275366 143093
"52" 6964 175.190001024824 0.737674015320241 143095
"53" 6965 175.0427 0.8290803 143096
"54" 6967 175.075838551621 0.709857153496999 143102
"55" 6968 175.0775 0.6360645 143098
"56" 6969 175.1112 0.7690314 143099
"57" 6971 175.1113 0.6779319 143101
"58" 6973 175.1221 0.7703927 143103
"59" 6974 175.1525 0.8246884 143104
"60" 6975 175.1725 0.8129525 143106
"61" 6979 175.080978521477 0.750834158450145 143112
"62" 6983 175.127866169577 0.737959575830438 143113
"63" 6988 175.1899 0.8311128 143119
"64" 6998 175.3244 0.6830322 143129
"65" 6999 175.3348 0.7347183 143130
"66" 7000 175.1992 0.8062356 143131
"67" 7001 175.2018 0.7205373 143132
"68" 7002 175.2182 0.7924737 143133
"69" 7003 175.2319 0.7877107 143134
"70" 7004 175.2418 0.6810811 143136
"71" 7005 175.2491 0.7705707 143135
"72" 7007 175.2718 0.7076053 143138
"73" 7008 175.2877 0.8217767 143140
"74" 7010 175.3104 0.648734 143139
"75" 7011 175.3212 0.7244193 143141
"76" 7012 175.3393 0.7517738 143142
"77" 7017 175.2725 0.8028002 143155
"78" 7019 175.2871 0.6972895 143147
"79" 7024 175.3067 0.7517712 143156
"80" 7025 175.312076570417 0.838042635473156 143150
"81" 7026 175.318982059323 0.631040764265349 143159
"82" 7029 175.2428 0.6296181 143160
"83" 7030 175.3063 0.719581 143161
