objid,ID,z,nsersic_g,Re_g,L_g,ba_g,M_g,nsersic_r,Re_r,L_r,ba_r,M_r,nsersic_i,Re_i,L_i,ba_i,M_i,Vol_max,P_early,T_HC11,vdisp,err_vdisp,Ie_g,Ie_i,Ie_r,logSFR_SED,err_logSFR_SED,AFUV,err_AFUV,AB,err_AB,AV,err_AV,UV_survey,P_merg,TType,Ms,Re,Sigma_1,Vol_selection,gr,gi,Age_ave_1Re,Z_ave_1Re,Age_ave_0.1Re,Z_ave_0.1Re,grad_gi,grad_gr,Rap_sdss_fiber,color_gi_01,color_gi_1,plate,mjd,fiber_id,p_age_16,p_age_50,p_age_84,del_grad_gi,del_MS,del_gi,del_gi_01re,del_gi_1re,del_Reff_r,del_Reff_ste,del_Sigma1,Group_membership_Y12,specobjid,ra,dec,MEDIAN_logSFR,mass_dens_radius2,mass_dens_radius4,mass_dens_radius8,mass_dens_rp1_rpi2,mass_dens_rp1_rpi3,mass_dens_rp1_rpi4,mass_dens_rp1_rpi5,mass_dens_rp1_rpi6,mass_dens_rp1_rpi7,mass_dens_rp1_rpi8,mass_dens_rp2_rpi2,mass_dens_rp2_rpi3,mass_dens_rp2_rpi4,mass_dens_rp2_rpi5,mass_dens_rp2_rpi6,mass_dens_rp2_rpi7,mass_dens_rp2_rpi8,logMs,logRe_r,logRe,logSigma_1,conx,BTr,nb,ng,logA,logvd,logRp,dr12objid,bpt,d4000n,rabsmag,urcolor,color_grad,grcolor,del_ur,ssfr,C,S,G2,H,G,M20,Cx,logCx,logMR,P13,B14,vdW14,vD15,BMass.BD,DMass.BD,BTM,P_bar_GZ2,P_bar_Nair10,del_ssfr,cl,mcl,mscl,Rchl_r,logRchl_r,logC,del_logCx,del_color_grad,del_P13,del_nb,del_BTr,del_BTM,del_logA,del_logSigma1
587722953304571922,103,0.03255,0.7297,3.24344,2225840130,0.7097,-18.2887,0.9882,3.36423,2768399870,0.7376,-18.9656,1.1226,3.61926,3397619970,0.7343,-19.2979,5776750,0.0216302,4.00928,,-9999,20130000,20630300,20549800,-1.119,0.137,1.595,0.483,0.281,0.088,0.19,0.063,2,0.945573,4.19597,5627370000,4.17236,254416000,6552230,0.676899,1.0092,,,,,-0.403301917080457,-0.306625424852298,1.00672,1.29000827274428,0.886706355663826,343,51692,345,9.3689,9.5882,9.8048,-0.31063457967223,-0.857684515610524,-0.000362806357288692,0.196395677557405,-0.114238902114825,0.328001049954954,0.473887971880301,-0.341223341468764,-1,96767933908254720,237.719,0.401332,-1.5089743,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,9.75030547098757,0.526885679253188,0.620381773212873,8.40554442023584,0.537,0.06,0.9,0.92,-0.38796,1.65,0.74,1237648674529476615,2,1.53494,-17.961,2.33,-0.003,0.717,0.006,-10.86931,,0.8214,1.66114,0.81332,0.53862,-2.32631,1.86219739292365,0.270025714300444,9.1299236977747,7.84354,9.63945,1.55765,1.80399,8.58255,9.41936,0.127102284595547,0.00471,0.33546,-0.87853037363111,2,2,6,2.79,0.45,,-0.10069481667919,0.0530305504913847,-0.672370786611272,-2.50527693287268,-0.30498397455107,-0.29410603856669,0.443478323512458,-0.237016070642047
587722981741363323,247,0.063221,2.8127,5.96445,27617699800,0.7384,-21.023,2.6503,5.5146,36894802000,0.724,-21.7774,3.1428,6.02373,47780798000,0.7254,-22.1681,183068000,0.537239,0.416571,161.826,8.67388,40545700,65232800,65175100,-0.556,0.239,2.688,0.611,0.347,0.044,0.227,0.03,2,0.0869685,-2.26745,95861203000,4.26868,3377509890,80889296,0.754398,1.1451,13.3728,0.0230905,9.78176,0.019007,-0.144893686287496,0.0241756828269573,1.88517,1.28611974824875,1.14122606196126,287,52023,206,9.7119,9.8089,9.9162,-0.0311373402059003,-0.923791712018177,0.0105426069210459,0.0440015186661191,0.0128641784602188,0.00818214998822875,0.00158873422893058,-0.256610221372037,-1,81006756263624704,182.97,-1.21954,-0.5558821,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,10.9816428748225,0.74151401648738,0.630293599300748,9.52859662939389,0.383,0.31,4.56,2.72,-1.04789,2.21,1,1237674648856232112,5,1.85068,-20.583,2.754,-0.047,0.935,0.066,-11.53764,0.40877,0.73627,0.91125,0.61589,0.51989,-1.9713,2.61096605744125,0.416801226031377,10.3513492755218,9.06314,10.86961,0.64406,0.57852,10.4841,10.6297,0.416962214963197,0.01435,0.31678,-0.742182961866151,2,3,6,4.06,0.61,-0.388520984968609,-0.067171370091507,0.0238280412624438,0.0179656110364554,-0.404015864228003,-0.314534804186645,-0.31153791528404,-0.153219239792667,-0.286088917543738
587722982289506494,1153,0.0376606,5.4038,3.77179,7591459800,0.8047,-19.6208,6.2038,3.47283,9102059500,0.7965,-20.2578,6.9647,3.96351,11388800000,0.8067,-20.6112,22892800,0.932044,-3.54093,68.6143,6.86142,20348200,24420900,26903400,-0.63,0.105,0.906,0.28,0.2,0.087,0.148,0.074,1,0.226101,0.373134,16305399800,2.19988,1935320060,15621800,0.636999,0.9904,6.82192,0.029005,10.8114,0.0051402,-0.235216772124634,-0.178742728282131,1.15766,1.20684865875225,0.971631886627613,301,51942,307,9.5773,9.7282,9.8465,-0.117106517621605,-0.699898692909814,-0.0660636365969416,0.0345310790307163,-0.0825754385908888,0.210725677745471,0.0685182884089363,0.0252462904359465,-1,84947058468847616,208.694,-0.674089,-0.8887097,486578439.204486,60822304.9005607,7602788.11257009,1297542504.54529,865028336.36353,648771252.272647,519017001.818118,432514168.181765,370726429.870084,324385626.136324,324385626.136324,216257084.090882,162192813.068162,129754250.454529,108128542.045441,92681607.4675211,81096406.5340809,10.2123314519494,0.540683524494483,0.342398991386203,9.28675279819081,0.323,0.5,4.45,6.33,-0.5904,1.83,0.76,1237648703514411195,3,1.64814,-18.988,2.422,-0.072,0.794,-0.039,-10.84233,0.52372,0.01287,0.2058,0.40589,0.61822,-2.3555,3.09597523219814,0.490797477668897,9.8699324605632,8.82817,10.15373,0.93315,1.08066,9.9139,9.56902,0.688714334468181,0.14893,0.33776,-0.738786074790124,2,2,6,1.9,0.28,-0.280900840794359,0.0718943551821844,0.000896209401053907,-0.10475739181345,0.129320050192956,0.00899142996955149,0.108610447030121,0.360953723153858,0.11155578151727
587722982290751667,1182,0.0593043,4.8874,5.37136,33917300700,0.7122,-21.2461,5.1405,5.14346,46056399000,0.6953,-22.0182,5.5622,5.81515,58797302000,0.6855,-22.3934,230800992,0.951304,-3.08498,186.941,7.89711,47072500,65375600,68019696,-0.957,0.596,2.853,0.789,0.501,0.09,0.342,0.068,2,0.157678,-1.97027,126564999000,4.3133,8646290400,108697000,0.7721,1.1473,13.515,0.03,11.011,0.019007,-0.101971691923715,-0.0771835042995193,1.77658,1.20857862640611,1.10660693448239,302,51688,236,9.8956,9.9418,9.9488,0.00580517501269901,-1.34643610794765,0.000493169942793914,-0.0362133037045722,-0.0304081286918732,-0.100629751654991,-0.0755895993407174,0.0875228761354006,-1,85227442226069504,211.475,-0.745417,-1.1416082,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,11.1023136200351,0.7112553667337,0.634809665383034,9.9368298179429,0.309,0.77,4.53,4.8,-0.73266,2.26,0.94,1237648703515656353,-1,2.01166,-20.774,2.871,-0.047,0.949,0.147,-12.05931,0.52957,0.08244,0.19703,0.40961,0.60217,-2.19551,3.23624595469256,0.510041520575165,10.4675039546521,9.19234,10.99113,0.55807,0.45358,10.808,10.1674,0.813821628337457,0.07616,0.2107,-1.10288011810923,2,4,7,3.27,0.51,-0.276076625538693,0.0191389446893014,0.0185709635552091,0.184203270402092,-0.40355117473348,0.132643292593496,0.0745553524298183,0.137915914493969,0.0528466003229404
587722982301106484,1585,0.0565394,3.3772,3.07377,10656199700,0.6991,-19.989,3.1298,2.73843,13621300200,0.6979,-20.6955,3.6756,3.01882,17170700300,0.6908,-21.057,48119000,0.425671,0.925782,124.024,14.1112,53983000,86587904,90161000,-0.894,0.209,0.531,0.206,0.085,0.025,0.061,0.021,2,0.0682446,-2.52195,30409500700,1.88696,2834230020,26232600,0.706499,1.068,6.82192,0.0292462,3.36994,0.03,-0.121877467265168,0.0226930188875194,1.6993,1.20489721281499,1.08301974554983,315,51663,55,9.7482,9.9005,9.9958,0.00135735290254219,-1.10537914928305,-0.0159404795201208,-0.00156524082648035,-0.000207887923938221,-0.0103842482023879,-0.0953840832994584,-0.0256741963906162,-1,88886508789956608,235.175,-0.763867,-0.849111,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,10.4830092894301,0.437501643931124,0.275762694037004,9.45243509374593,0.372,0.48,4.52,3.44,-1.11657,2.11,0.79,1237648703526011178,2,1.87,-19.576,2.595,-0.037,0.902,0.054,-11.37701,0.3971,0.72523,1.10017,0.61817,0.52781,-1.91072,2.68817204301075,0.429457060118103,10.2072465953931,9.28951,10.44348,0.66351,0.71465,10.152,10.1004,0.529668454379155,0.00149,0.25279,-1.11210195986037,2,3,7,2.08,0.32,-0.401100112936117,-0.0155612919157757,0.0404958918074935,0.241879870932131,-0.174002567902232,-0.0685017597736892,-0.118750926368727,-0.158074004762032,0.0149713139147885
587722982829981963,2354,0.0528077,2.4567,2.80321,10862499800,0.943,-20.0098,2.5378,2.5927,13995799600,0.9633,-20.725,2.7887,2.60801,16878799900,0.9866,-21.0384,54124000,0.579974,0.231062,110.56,8.15604,76970000,130133000,114168000,-0.937,0.214,1.474,0.493,0.207,0.051,0.14,0.037,2,0.054781,-1.8791,32118499300,1.88785,3131089920,27536600,0.7152,1.0286,10.4696,0.019007,4.62855,0.019007,-0.231835052049231,-0.106212576711631,1.59418,1.31686371143944,1.08502865939021,305,51613,128,9.7481,9.8779,9.9737,-0.10849546897935,-1.15876637033589,-0.0577509609322364,0.107868824012335,-0.000626644967014922,-0.0458895053637265,-0.10488745565904,0.000721810059198802,-1,86071544580669440,216.896,-0.407022,-1.1824242,2528746244.65471,1068835980.94365,452789735.988752,6743323319.07922,4495548879.38615,10710097141.828,8568077713.46243,7140064761.21869,6120055509.61602,5355048570.91402,1685830829.76981,1123887219.84654,2677524285.45701,2142019428.36561,1785016190.30467,1530013877.404,1338762142.7285,10.5067552451697,0.413752267682549,0.275967484262767,9.49569554005353,0.356,0.59,4.65,2.63,-0.96094,2.05,0.84,1237648704054886680,5,1.72429,-19.654,2.618,-0.047,0.881,0.07,-11.44376,0.36872,0.48701,0.92575,0.58107,0.54854,-1.91908,2.80898876404494,0.448550002027125,10.2307877609069,9.17288,10.45319,0.6459,0.76109,10.2585,9.92214,0.684492994036376,0.00163,0.238,-1.16018894642497,2,3,7,2.41,0.38,-0.433303304883536,0.00137183738869673,0.0306580842737209,0.119342652901828,-0.0698608383901327,0.0370111593585137,0.0309296947368627,-0.00353737692692058,0.0370863502894032
587722982834438162,2504,0.0545022,5.2651,6.59141,11321400300,0.707,-20.0548,6.5136,8.70999,17274099700,0.6959,-20.9535,7.1133,10.2398,22775400400,0.7008,-21.3637,36726300,0.454936,0.66968,115.479,13.205,10063200,7241560,7925830,-0.651,0.171,3.632,0.639,0.497,0.058,0.317,0.039,2,0.690859,2.02375,70885499000,24.0059,2330550020,59070800,0.898701,1.3089,12.321,0.019007,1.58316,0.03,-0.0928233484723933,-0.0745232055947476,1.64203,1.18743539080895,1.09461204233656,310,51990,114,9.839,9.9568,10.0318,0.025800960989908,-0.98910805416957,0.187649255921653,-0.0490433279931164,-0.0232423670032085,0.288570738312352,0.831319623773236,-0.344697981319364,-1,87480538608173056,227.024,-0.301498,-1.4171973,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,10.8505574009321,0.940017656391439,1.38031799265081,9.36745842852021,0.377,0.33,6.09,7,-0.54458,2.04,0.93,1237648704059277727,5,1.82681,-19.371,2.664,0.01,0.913,0.015,-11.50156,0.4741,0.14883,0.43896,0.52383,0.56822,-2.30125,2.6525198938992,0.423658649794207,9.47023940828129,7.44919,10.59024,1.4924,1.45103,9.89889,10.1562,0.356066449205624,0.59076,0.66122,-0.869953176564248,2,3,6,3.06,0.49,-0.324130044681043,-0.0515530097059203,0.0848033879194336,-1.6210735803672,1.13783134076669,-0.278187138727786,-0.356989759185517,0.373603560405822,-0.361989881901385
587722983355384004,2979,0.0485388,2.2675,2.64737,6943510000,0.8377,-19.5239,2.617,2.65395,9358440400,0.8316,-20.288,3.0894,2.83031,11736200200,0.8157,-20.6438,29270300,0.407628,1.79247,86.9977,10.6158,57280700,73174000,71806096,-1.106,0.227,2.915,0.568,0.409,0.061,0.267,0.044,2,0.0682162,-2.01372,25073999900,2.68436,2146550020,22203600,0.764101,1.1199,13.515,0.03,5.64961,0.0211055,-0.37939093785562,-0.199445377826693,1.47277,1.45299339498644,1.07360245713082,291,51928,238,-99,,-99,-0.256970104923184,-1.27812792074845,0.0444647076987419,0.256078949856339,-0.000891155066844895,0.0157287273803415,0.0902988618035876,-0.0843786021997524,-1,82132248282791936,190.657,0.0756826,-1.3447915,2564806775.88575,1024127741.01174,820365708.414666,2598849023.49471,1732566015.66314,1299424511.74736,1039539609.39788,866283007.83157,742528292.42706,649712255.873678,1709871183.92383,1139914122.61589,854935591.961916,683948473.569533,569957061.307944,488534623.978238,427467795.980958,10.3992236197952,0.423892736565853,0.428840758713505,9.33174101308421,0.407,0.34,4.79,2.67,-1.13153,1.94,0.73,1237648704580288666,5,1.78708,-19.179,2.664,-0.057,0.892,0.148,-11.50522,0.40944,0.75035,0.9457,0.60765,0.52723,-1.96388,2.45700245700246,0.39040559077478,9.97038286108169,8.82345,10.32146,0.87942,0.98957,9.88196,9.98455,0.441217537955572,0.0071,0.23677,-1.30019486138558,2,3,8,2.19,0.34,-0.38780973145689,-0.0468048742923998,0.0195950541688118,-0.198113680559922,0.196483789066016,-0.191958238810699,-0.18796520538744,-0.171231862460021,-0.0286781960761875
587722983367835876,3423,0.0298155,1.227,6.86799,4236809980,0.5277,-18.9876,1.5024,7.03126,4311430100,0.5271,-19.4466,1.8069,7.51865,4837020200,0.5268,-19.6814,8879250,0.303616,2.12588,,-9999,6871700,5497670,6095350,-0.807,0.022,0.557,0.072,0.073,0.016,0.046,0.013,2,0.979329,-1.63178,4395169800,7.94106,99568600,5238860,0.459,0.6938,6.56461,0.002,1.31434,0.002,-0.469144868178718,-0.261136173504442,0.92519,1.08041979336664,0.611274925187921,307,51663,434,-99,,-99,-0.385401778458939,-0.456048590496236,-0.304867623949056,0.00848534634313869,-0.376916432115801,0.667361662614186,0.778872708645078,-0.596084208509262,-1,86634710565912576,219.161,0.117399,-0.8629353,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,9.64297565797146,0.84703315745428,0.89987847741762,7.99812240070516,0.546,0.11,3.57,1.56,-0.66075,,1.05,1237648704592740527,2,1.20887,-18.285,1.794,-0.166,0.528,-0.499,-10.44998,,0.74419,1.76138,0.78774,0.43224,-1.96707,1.83150183150183,0.262807357295263,8.74309718055384,7.32315,9.49081,1.91765,2.11785,9.0104,9.34027,0.3187431609227,0.00291,0.05705,-0.469312989543814,2,2,5,5.01,0.7,,-0.0966201249420468,-0.114979188742858,-1.05193891793638,0.416447616148993,-0.22048673492349,-0.0576865025647746,0.118486253921368,-0.506414688045643
587722983372947881,3633,0.0534469,6.4531,4.29607,16284099600,0.7671,-20.4494,5.9837,3.57849,20844400600,0.7895,-21.1575,6.444,4.07887,26709899300,0.7795,-21.5367,74497696,0.940558,-3.74046,120.14,7.63819,30852400,56177200,59059600,-0.91,0.262,1.091,0.63,0.12,0.07,0.078,0.045,2,0.264455,-2.24305,46771499000,1.96995,4929350100,39034500,0.708099,1.0873,12.0717,0.019007,4.06285,0.0298492,-0.0203371573327757,-0.00356919393160737,1.61226,1.13382998888423,1.11349283155145,313,51673,433,9.654,9.845,9.9533,0.102217415132258,-1.19463215110251,-0.015620239044104,-0.0904129548207011,0.0118044603115572,0.00771014065150599,-0.159385977953711,0.0891094418724752,-1,88323603371655168,230.904,0.135666,-1.4006621,464612072.90262,113776138.622417,167127984.041803,1238965527.74032,825977018.493547,619482763.87016,495586211.096128,412988509.246773,353990150.782949,309741381.93508,309741381.93508,206494254.623387,154870690.96754,123896552.774032,1150970749.1416,986546356.407086,863228061.856201,10.6699812890232,0.553699807926687,0.294455203319122,9.69278966439099,0.318,1,6.38,6.64,-0.77932,2.06,0.75,1237648704597852589,5,1.92694,-19.913,2.748,-0.009,0.922,0.152,-11.57998,0.50348,0.32589,0.21286,0.46188,0.5617,-2.0997,3.14465408805031,0.497572880015567,10.3755260857041,9.38554,10.62136,0.54197,0.57315,10.525,8.59104,0.988491651477344,0.05406,0.40554,-1.14833838657429,2,3,7,2.46,0.39,-0.298017776475116,0.036271150566777,0.0685738555360936,0.308444513668301,1.51551121149132,0.418546677666292,0.303213419314401,0.164392186201623,0.0972459827584125
