"name" "ra" "dec"
"K2-1" 353.616152 -1.580064
"K2-10" 172.121957 1.690636
"K2-100" 129.60125 20.106063
"K2-101" 130.344085 18.933875
"K2-102" 130.056046 19.77881
"K2-103" 130.410365 17.640005
"K2-104" 129.636756 19.773829
"K2-105" 125.420277 13.49753
"K2-106" 13.07978 10.794699
"K2-107" 284.985378 -22.293402
"K2-108" 123.381875 16.419609
"K2-109" 183.472473 -0.393484
"K2-11" 169.042002 1.98684
"K2-110" 207.34954 -12.284491
"K2-111" 59.889755 21.298685
"K2-112" 346.622013 -5.041274
"K2-113" 19.449286 6.868895
"K2-114" 127.882962 11.922265
"K2-115" 126.553444 12.281936
"K2-116" 336.151611 -11.578691
"K2-117" 133.855682 10.469131
"K2-118" 132.126896 15.655983
"K2-119" 132.009734 16.901853
"K2-12" 173.192036 2.244884
"K2-120" 132.142988 17.190686
"K2-121" 126.93672 17.579397
"K2-122" 126.476311 20.359569
"K2-123" 134.444189 21.453533
"K2-124" 133.641182 23.13289
"K2-125" 204.142127 -14.947603
"K2-126" 203.546541 -13.576928
"K2-127" 207.078377 -11.588979
"K2-128" 204.437656 -8.597065
"K2-129" 289.148311 -25.644965
"K2-13" 170.155528 2.502696
"K2-130" 290.270258 -19.690807
"K2-131" 182.751556 -9.765218
"K2-132" 182.166397 -8.747175
"K2-133" 70.148567 25.010006
"K2-134" 349.063446 0.306743
"K2-135" 351.770142 -1.286273
"K2-14" 178.057026 2.594245
"K2-15" 178.110797 4.254747
"K2-16" 175.097258 4.55734
"K2-17" 178.329775 6.412261
"K2-18" 172.56046 7.588391
"K2-19" 174.960319 0.603575
"K2-2" 353.955353 0.445516
"K2-20" 100.848038 27.252293
"K2-21" 340.303689 -14.488987
"K2-22" 169.482818 2.61907
"K2-23" 331.203047 -12.018885
"K2-24" 242.573719 -24.990331
"K2-25" 63.273432 15.247763
"K2-26" 94.20658 24.59641
"K2-27" 171.515165 1.230738
"K2-28" 335.624384 -7.955366
"K2-29" 62.670647 24.402043
"K2-3" 172.334949 -1.454787
"K2-30" 52.341962 22.299405
"K2-31" 245.440751 -23.547865
"K2-32" 252.426083 -19.542821
"K2-33" 242.561406 -19.319273
"K2-34" 127.57877 22.235908
"K2-35" 170.103081 1.285956
"K2-36" 169.449073 3.866393
"K2-37" 243.451011 -24.787062
"K2-38" 240.033579 -23.189288
"K2-39" 338.368392 -9.022769
"K2-4" 174.74564 -3.905585
"K2-40" 342.385707 -10.67556
"K2-41" 201.655192 -8.31756
"K2-42" 176.665722 -5.171913
"K2-43" 169.117142 -3.97544
"K2-44" 174.01163 -2.520881
"K2-45" 169.632879 -1.77413
"K2-46" 174.266344 -0.907261
"K2-47" 168.582603 2.780711
"K2-48" 176.123545 3.272425
"K2-49" 177.320206 3.475569
"K2-5" 169.303502 -1.877976
"K2-50" 169.483631 5.988378
"K2-52" 246.611416 -24.969948
"K2-53" 244.141811 -20.400533
"K2-54" 338.054185 -17.543994
"K2-55" 333.751927 -17.250707
"K2-56" 53.650966 20.599232
"K2-57" 342.691712 -14.069886
"K2-58" 333.821819 -14.049808
"K2-59" 338.942343 -14.027745
"K2-6" 178.19226 -1.198477
"K2-60" 338.606184 -13.731702
"K2-61" 339.674743 -13.560024
"K2-62" 334.36418 -12.187498
"K2-63" 333.426666 -12.066374
"K2-64" 332.413612 -11.428742
"K2-65" 333.211761 -10.925379
"K2-66" 331.5267 -10.711549
"K2-68" 334.019783 -10.567318
"K2-69" 335.759539 -10.48858
"K2-7" 167.093771 -1.065755
"K2-70" 338.475795 -10.084946
"K2-71" 341.724437 -9.881619
