ra,dec,z
195.790586303,28.583518638,0.0228296
194.256796971,29.062616424,0.0250272
194.297535661,29.045064489,0.0249553
194.446046434,29.149503132,0.0238567
194.576020874,29.128794979,0.0263268
195.164785362,29.019406514,0.0242458
195.389993707,29.130591429,0.0245315
195.43071723,29.04465561,0.0237299
195.433245039,28.999539349,0.021424
196.074698011,29.029529496,0.0227663
195.027360069,29.462660958,0.0217749
194.391218789,28.48225393,0.0208744
194.38316613,28.476936822,0.0225677
194.474773196,28.499804553,0.0243601
194.898645832,28.551368087,0.025299
194.922119686,28.507199246,0.0274812
195.536097049,28.38710398,0.0252668
195.670031875,28.371295967,0.0247272
196.076795283,28.468137757,0.0257734
194.555569074,28.94809162,0.0255569
194.616043347,28.974121395,0.0238004
194.626107887,28.858832846,0.026647
194.912976758,28.895509173,0.0203936
195.058350498,28.828162073,0.0244745
195.106851312,28.867810608,0.0225797
194.084473895,29.30013726,0.0221329
194.21334037,29.378184008,0.0238458
195.352152702,29.308365362,0.0233972
195.355281993,29.313734755,0.0233972
195.51750482,29.253447411,0.0243153
194.235757499,28.623374222,0.0218567
194.538464146,28.708561081,0.0253684
194.217833856,26.487714267,0.0253642
194.380002093,26.512150135,0.0241302
194.116085931,26.987417376,0.0214956
194.121410034,26.956996292,0.0234982
194.21323314,26.898877846,0.0207527
194.429324394,26.852384857,0.0212539
194.757633338,26.815654739,0.0238647
192.859026832,27.421237595,0.0243975
192.908198651,27.310634366,0.0235186
193.203749412,27.40183434,0.0257795
193.566830489,27.303747545,0.0214761
193.729908656,27.412694684,0.0261551
193.922093105,27.250755087,0.0236511
194.119067302,27.291262261,0.025071
194.257091622,27.372087715,0.0233587
194.64722753,27.26468081,0.0245396
194.655334557,27.176604773,0.0255681
194.638055718,27.364357814,0.0232275
195.02615952,27.300698725,0.0262544
193.86582994,27.656116208,0.0234093
194.082459239,27.751023096,0.0229753
194.110938477,27.830635127,0.0209107
194.026864774,27.648036336,0.0253633
194.319937976,27.618455261,0.0241624
194.386812954,27.610336849,0.020128
194.442310135,27.757030198,0.0204487
194.646625942,27.596373929,0.0256439
194.697518033,27.674718992,0.0279622
194.717084688,27.785052792,0.0188566
194.742138914,27.594702772,0.0200485
194.781239093,27.767764439,0.0212197
194.784196098,27.784116724,0.0234478
194.772096631,27.644403858,0.0181256
194.806247707,27.774591634,0.022767
194.946463158,27.710296277,0.0279834
195.026070849,27.685295503,0.0251674
195.14032244,27.63775243,0.0249645
195.451615032,27.603957484,0.0274531
195.301237542,27.604474854,0.0251914
195.473906494,27.624438218,0.0262107
195.532871134,27.648293808,0.023012
